	card1	card2	suited	force	qualifies	hrank
48	♢8	♠Q	False	0	True	Two Pair
49	♢K	♡3	False	0	True	Three Of A Kind
50	♣2	♢2	False	1	True	Four Deuces
51	♢2	♠9	False	1	True	One Pair
52	♢A	♠Q	False	2	True	Three Of A Kind
53	♠2	♠9	True	1	True	Three Of A Kind
54	♢3	♣5	False	0	False	One Pair
55	♡3	♡4	True	0	True	Three Of A Kind
56	♣2	♣Q	True	1	True	Four Of A Kind
57	♣3	♣4	True	0	False	High Card
58	♠Q	♢6	False	0	True	Three Of A Kind
59	♣7	♣T	True	0	True	Three Of A Kind
60	♠2	♡A	False	1	True	Five Of A Kind
61	♢T	♡5	False	0	False	High Card
62	♣Q	♡5	False	0	False	High Card
63	♡5	♡4	True	0	True	Three Of A Kind
64	♡J	♡5	True	0	False	One Pair
65	♡T	♢K	False	0	True	Two Pair
66	♣Q	♣K	True	2	False	One Pair
67	♣J	♠3	False	0	True	Full House
68	♡J	♢8	False	0	True	Four Of A Kind
69	♢3	♣6	False	0	True	Three Of A Kind
70	♢6	♢6	True	2	True	Four Of A Kind
71	♡8	♡9	True	0	True	Two Pair
72	♡Q	♢Q	False	2	True	One Pair
73	♠9	♠5	True	0	True	Three Of A Kind
74	♠2	♢J	False	1	True	Four Of A Kind
75	♢7	♣6	False	0	True	Two Pair
76	♢7	♣8	False	0	False	One Pair
77	♠A	♢5	False	0	False	High Card
78	♣Q	♣Q	True	2	True	Three Of A Kind
79	♢6	♡3	False	0	True	Three Of A Kind
80	♣Q	♣4	True	0	True	Flush
81	♢9	♢K	True	0	True	Straight
82	♣7	♢8	False	0	False	One Pair
83	♡8	♡K	True	0	True	Two Pair
84	♡7	♣J	False	0	False	High Card
85	♠4	♠A	True	0	True	Three Of A Kind
86	♢A	♠8	False	0	True	Three Of A Kind
87	♣A	♣3	True	0	True	One Pair
88	♡7	♡2	True	2	True	Four Of A Kind
89	♡7	♠7	False	2	True	Four Of A Kind
90	♡7	♢7	False	2	False	One Pair
91	♠Q	♣8	False	0	False	One Pair
92	♢8	♢4	True	0	False	One Pair
93	♢4	♣7	False	0	True	Five Of A Kind
94	♡Q	♡J	True	2	False	High Card
95	♣9	♢2	False	2	True	Four Of A Kind
96	♣9	♢5	False	0	True	Three Of A Kind
97	♠7	♢7	False	2	True	Two Pair
98	♡6	♡4	True	0	False	One Pair
99	♠K	♢4	False	0	True	Four Of A Kind
100	♡6	♣4	False	0	False	One Pair
101	♣8	♣6	True	0	False	High Card
102	♣J	♢4	False	0	True	Four Of A Kind
103	♣T	♡A	False	0	True	Two Pair
104	♠J	♠K	True	2	True	One Pair
105	♡8	♢5	False	0	True	Three Of A Kind
106	♠T	♢7	False	0	True	Flush
107	♠5	♠Q	True	0	True	Four Of A Kind
108	♣3	♣2	True	2	True	Four Of A Kind
109	♠6	♣Q	False	0	True	One Pair
110	♡9	♠6	False	0	True	Two Pair
111	♡6	♣A	False	0	True	Flush
112	♢8	♢A	True	0	True	Three Of A Kind
113	♣4	♡5	False	0	False	One Pair
114	♠K	♡2	False	2	True	Three Of A Kind
115	♣9	♠J	False	0	False	One Pair
116	♣2	♣A	True	1	True	Three Of A Kind
117	♣4	♣A	True	0	True	One Pair
118	♡6	♡6	True	2	True	Four Of A Kind
119	♢2	♡J	False	1	True	Three Of A Kind
120	♢3	♡6	False	0	False	High Card
121	♢4	♢7	True	0	False	One Pair
122	♣Q	♣8	True	0	False	High Card
123	♢K	♡2	False	2	True	Straight Flush
124	♡5	♡T	True	0	False	High Card
125	♣T	♣3	True	0	False	One Pair
126	♣A	♠K	False	2	True	Four Of A Kind
127	♠Q	♡J	False	0	False	High Card
128	♠7	♡3	False	0	False	High Card
129	♠K	♡Q	False	2	False	High Card
130	♢K	♣K	False	2	False	One Pair
131	♢9	♣2	False	2	False	One Pair
132	♠3	♢2	False	2	True	One Pair
133	♢5	♣3	False	0	False	One Pair
134	♢9	♠9	False	2	True	Four Of A Kind
135	♠T	♢2	False	2	True	Three Of A Kind
136	♡9	♢4	False	0	True	Three Of A Kind
137	♡4	♢Q	False	0	True	Full House
138	♡5	♣7	False	0	True	One Pair
139	♡A	♣4	False	0	True	Straight
140	♡3	♡A	True	0	True	Three Of A Kind
141	♡5	♣2	False	2	True	Three Of A Kind
142	♠8	♡Q	False	0	True	One Pair
143	♢6	♡K	False	0	False	High Card
144	♣4	♢A	False	0	True	Three Of A Kind
145	♠4	♢J	False	0	False	One Pair
146	♢9	♠8	False	0	True	Three Of A Kind
147	♢6	♢J	True	0	False	High Card
148	♡J	♠5	False	0	True	One Pair
149	♢7	♣T	False	0	False	High Card
150	♣T	♣5	True	0	True	Three Of A Kind
151	♡T	♣7	False	0	True	Three Of A Kind
152	♢6	♡T	False	0	True	Four Of A Kind
153	♠2	♢K	False	1	True	One Pair
154	♢T	♡Q	False	0	True	Two Pair
155	♠K	♡A	False	2	False	One Pair
156	♢T	♣4	False	0	False	One Pair
157	♣5	♢T	False	0	False	One Pair
158	♣Q	♣5	True	0	True	Three Of A Kind
159	♣3	♣Q	True	0	True	One Pair
160	♢6	♠4	False	0	True	Three Of A Kind
161	♡2	♡2	True	1	True	Four Of A Kind
162	♡9	♡5	True	0	True	Three Of A Kind
163	♣8	♣T	True	0	True	One Pair
164	♢2	♡8	False	1	False	One Pair
165	♢5	♠Q	False	0	True	One Pair
166	♢A	♡5	False	0	True	Two Pair
167	♢4	♢Q	True	0	False	One Pair
168	♠8	♡3	False	0	True	One Pair
169	♣2	♣4	True	1	True	Four Of A Kind
170	♠5	♠6	True	0	False	One Pair
171	♠7	♠Q	True	0	True	Two Pair
172	♢J	♣J	False	2	True	Four Of A Kind
173	♣8	♢8	False	2	True	Four Of A Kind
174	♣J	♡A	False	0	True	Three Of A Kind
175	♢2	♡J	False	1	True	One Pair
176	♣5	♢Q	False	0	False	High Card
177	♠K	♣6	False	0	True	Three Of A Kind
178	♡A	♠T	False	0	False	High Card
179	♢4	♣A	False	0	False	One Pair
180	♢A	♡4	False	0	False	One Pair
181	♢5	♠8	False	0	True	One Pair
182	♣T	♡3	False	0	True	Three Of A Kind
183	♠T	♢K	False	0	False	One Pair
184	♢Q	♡J	False	0	True	Three Of A Kind
185	♣K	♢2	False	2	True	Three Of A Kind
186	♣T	♡A	False	0	True	One Pair
187	♡Q	♠2	False	2	True	Five Of A Kind
188	♡Q	♠T	False	0	True	One Pair
189	♢6	♡9	False	0	True	Three Of A Kind
190	♢6	♢J	True	0	False	One Pair
191	♣A	♠8	False	0	False	High Card
192	♠2	♡T	False	1	True	Three Of A Kind
193	♠3	♢7	False	0	True	Three Of A Kind
194	♣A	♣Q	True	2	True	Three Of A Kind
195	♣2	♠7	False	1	True	Straight
196	♣T	♠6	False	0	False	One Pair
197	♡2	♢T	False	1	True	Four Of A Kind
198	♣6	♣K	True	0	True	Flush
199	♢Q	♠7	False	0	False	One Pair
200	♡9	♠5	False	0	True	Two Pair
201	♠8	♡4	False	0	False	One Pair
202	♠6	♢A	False	0	True	Three Of A Kind
203	♠2	♣6	False	1	True	Three Of A Kind
204	♠J	♡4	False	0	True	Three Of A Kind
205	♣T	♣5	True	0	False	One Pair
206	♡J	♣9	False	0	False	One Pair
207	♡4	♡K	True	0	False	One Pair
208	♣8	♡4	False	0	True	Three Of A Kind
209	♡9	♠5	False	0	False	High Card
210	♢T	♣T	False	2	False	One Pair
211	♠T	♠T	True	2	False	One Pair
212	♢3	♠9	False	0	False	One Pair
213	♠7	♣2	False	2	True	Three Of A Kind
214	♠5	♢2	False	2	True	Four Of A Kind
215	♢7	♣A	False	0	True	Four Of A Kind
216	♡9	♡2	True	2	True	Three Of A Kind
217	♣6	♡7	False	0	True	Three Of A Kind
218	♢7	♡9	False	0	True	Four Of A Kind
219	♠4	♢5	False	0	True	Three Of A Kind
220	♡J	♣Q	False	0	True	Three Of A Kind
221	♠6	♢K	False	0	True	Two Pair
222	♢4	♡A	False	0	False	One Pair
223	♢Q	♠T	False	0	True	Two Pair
224	♢9	♠5	False	0	True	Three Of A Kind
225	♠3	♢9	False	0	False	One Pair
226	♢Q	♢9	True	0	True	Flush
227	♡3	♢A	False	0	True	Three Of A Kind
228	♡5	♠A	False	0	True	Three Of A Kind
229	♣2	♢A	False	1	True	Three Of A Kind
230	♢2	♢Q	True	1	True	Full House
231	♠K	♠A	True	2	True	Four Of A Kind
232	♠T	♠5	True	0	False	High Card
233	♡T	♠2	False	2	False	One Pair
234	♢K	♢7	True	0	True	Three Of A Kind
235	♡2	♡3	True	1	True	Four Of A Kind
236	♢3	♠3	False	2	False	One Pair
237	♠2	♡4	False	1	True	Four Of A Kind
238	♢K	♣2	False	2	True	Three Of A Kind
239	♢Q	♡2	False	2	True	One Pair
240	♠T	♡K	False	0	True	Full House
241	♢3	♣7	False	0	True	Three Of A Kind
242	♢A	♡Q	False	2	False	One Pair
243	♢6	♠7	False	0	False	One Pair
244	♢8	♣4	False	0	True	Two Pair
245	♡7	♡7	True	2	True	Three Of A Kind
246	♡5	♣T	False	0	True	One Pair
247	♣9	♣A	True	0	True	Flush
248	♣5	♡A	False	0	True	One Pair
249	♣A	♡4	False	0	False	One Pair
250	♢Q	♡6	False	0	False	One Pair
251	♠7	♠9	True	0	False	One Pair
252	♣T	♣4	True	0	False	One Pair
253	♢3	♠A	False	0	True	One Pair
254	♣3	♡7	False	0	True	Full House
255	♠3	♠A	True	0	False	High Card
256	♠Q	♣7	False	0	True	Full House
257	♢5	♠5	False	2	False	One Pair
258	♠5	♠A	True	0	True	One Pair
259	♣3	♢Q	False	0	True	One Pair
260	♠J	♢4	False	0	False	One Pair
261	♢T	♡J	False	0	False	High Card
262	♠2	♠8	True	1	False	One Pair
263	♠6	♢K	False	0	True	Three Of A Kind
264	♣A	♡K	False	2	True	Two Pair
265	♠8	♠8	True	2	True	Two Pair
266	♡8	♠T	False	0	True	One Pair
267	♠J	♠Q	True	2	True	One Pair
268	♢T	♠A	False	0	True	Straight
269	♢5	♢7	True	0	True	One Pair
270	♡3	♢T	False	0	True	Three Of A Kind
271	♠7	♢Q	False	0	False	One Pair
272	♢8	♡9	False	0	True	Three Of A Kind
273	♢T	♠J	False	0	True	Three Of A Kind
274	♡J	♠3	False	0	True	Two Pair
275	♢9	♡J	False	0	False	One Pair
276	♣T	♡5	False	0	True	Three Of A Kind
277	♡4	♢J	False	0	True	One Pair
278	♢K	♡Q	False	2	False	High Card
279	♡9	♣6	False	0	False	One Pair
280	♢2	♠K	False	1	True	Full House
281	♡4	♢3	False	0	False	One Pair
282	♠7	♢8	False	0	False	One Pair
283	♢6	♢4	True	0	True	Three Of A Kind
284	♡J	♠6	False	0	True	Three Of A Kind
285	♡Q	♠T	False	0	True	Flush
286	♢8	♠7	False	0	False	One Pair
287	♡K	♣J	False	0	True	Full House
288	♢4	♡Q	False	0	False	High Card
289	♣9	♡K	False	0	True	One Pair
290	♣T	♠T	False	2	True	Two Pair
291	♡7	♢K	False	0	True	Four Of A Kind
292	♢5	♢7	True	0	True	Four Of A Kind
293	♠8	♢3	False	0	True	Two Pair
294	♠Q	♠9	True	0	True	Full House
295	♠4	♣2	False	2	True	Three Of A Kind
296	♢4	♠3	False	0	False	One Pair
297	♡7	♡K	True	0	True	Flush
298	♡Q	♣8	False	0	False	One Pair
299	♣9	♣A	True	0	False	One Pair
300	♢5	♠K	False	0	True	Three Of A Kind
301	♠Q	♣5	False	0	False	One Pair
302	♣6	♠Q	False	0	True	Two Pair
303	♠Q	♠2	True	2	True	Three Of A Kind
304	♠4	♠A	True	0	True	One Pair
305	♡8	♣3	False	0	False	One Pair
306	♢T	♣A	False	0	True	Three Of A Kind
307	♡2	♠K	False	1	True	One Pair
308	♣T	♣7	True	0	False	One Pair
309	♡8	♡T	True	0	False	High Card
310	♠A	♣T	False	0	True	Three Of A Kind
311	♠6	♠3	True	0	True	One Pair
312	♡Q	♢9	False	0	True	Four Of A Kind
313	♡T	♣3	False	0	True	Flush
314	♠5	♠3	True	0	False	One Pair
315	♠T	♠Q	True	2	True	Three Of A Kind
316	♣9	♢4	False	0	True	Three Of A Kind
317	♣J	♢3	False	0	True	Two Pair
318	♣K	♣3	True	0	True	Flush
319	♠2	♣6	False	1	True	Royal Flush
320	♡T	♡3	True	0	True	Three Of A Kind
321	♡T	♣3	False	0	True	One Pair
322	♢K	♡T	False	0	True	Three Of A Kind
323	♠A	♢6	False	0	False	One Pair
324	♡5	♠3	False	0	True	Three Of A Kind
325	♢5	♠Q	False	0	True	Three Of A Kind
326	♠K	♡Q	False	2	False	High Card
327	♠9	♢8	False	0	False	One Pair
328	♢T	♠7	False	0	True	One Pair
329	♢A	♢9	True	0	True	One Pair
330	♣6	♠5	False	0	False	One Pair
331	♢A	♢5	True	0	True	Three Of A Kind
332	♡J	♡8	True	0	True	Three Of A Kind
333	♠A	♠9	True	0	False	One Pair
334	♢6	♢8	True	0	True	Two Pair
335	♡Q	♡5	True	0	True	One Pair
336	♢A	♠3	False	0	True	Flush
337	♢9	♣3	False	0	True	Three Of A Kind
338	♡5	♢3	False	0	True	Flush
339	♡J	♡4	True	0	False	High Card
340	♠3	♢5	False	0	True	Full House
341	♡2	♠A	False	1	True	Three Of A Kind
342	♢2	♣6	False	1	True	Straight
343	♣5	♣T	True	0	False	One Pair
344	♣2	♠9	False	1	True	Three Of A Kind
345	♢6	♡6	False	2	True	Three Of A Kind
346	♠7	♡Q	False	0	True	Three Of A Kind
347	♢T	♡T	False	2	True	Two Pair
348	♣A	♢6	False	0	False	One Pair
349	♠2	♢A	False	1	True	Three Of A Kind
350	♡J	♠9	False	0	False	One Pair
351	♡7	♠Q	False	0	True	Three Of A Kind
352	♣A	♠A	False	2	True	Full House
353	♢6	♣8	False	0	False	One Pair
354	♡5	♠5	False	2	True	Three Of A Kind
355	♣7	♣2	True	2	False	One Pair
356	♢T	♡A	False	0	True	Three Of A Kind
357	♢T	♠4	False	0	False	One Pair
358	♠9	♣4	False	0	True	One Pair
359	♠4	♢J	False	0	False	One Pair
360	♡7	♢4	False	0	True	Three Of A Kind
361	♣2	♣3	True	1	True	Four Of A Kind
362	♢8	♡3	False	0	True	Straight Flush
363	♣J	♠8	False	0	True	Straight
364	♡9	♡T	True	0	True	One Pair
365	♣T	♣A	True	2	True	Three Of A Kind
366	♠8	♠2	True	2	True	Straight
367	♣9	♠K	False	0	False	One Pair
368	♠4	♠9	True	0	False	One Pair
369	♣Q	♢2	False	2	True	Three Of A Kind
370	♣T	♢6	False	0	True	Four Of A Kind
371	♣2	♣6	True	1	True	Three Of A Kind
372	♢Q	♡Q	False	2	True	Three Of A Kind
373	♢5	♠4	False	0	True	Two Pair
374	♣9	♣9	True	2	False	One Pair
375	♠6	♡5	False	0	True	Three Of A Kind
376	♠T	♢9	False	0	True	One Pair
377	♣5	♡A	False	0	True	Four Of A Kind
378	♠A	♣8	False	0	True	Three Of A Kind
379	♣7	♣T	True	0	False	One Pair
380	♣2	♣J	True	1	False	One Pair
381	♠3	♢Q	False	0	False	High Card
382	♡8	♡7	True	0	True	Three Of A Kind
383	♢9	♡6	False	0	True	Three Of A Kind
384	♢A	♣Q	False	2	True	Three Of A Kind
385	♣3	♢3	False	2	True	Four Of A Kind
386	♠4	♣8	False	0	False	High Card
387	♠5	♠2	True	2	True	Three Of A Kind
388	♢4	♢7	True	0	True	Three Of A Kind
389	♠A	♣T	False	0	True	One Pair
390	♢4	♡4	False	2	False	One Pair
391	♠A	♣3	False	0	True	Flush
392	♣3	♡K	False	0	True	Straight
393	♡4	♡8	True	0	True	Four Of A Kind
394	♢A	♡J	False	0	True	Three Of A Kind
395	♣A	♠J	False	0	False	One Pair
396	♡5	♠8	False	0	True	Three Of A Kind
397	♠T	♢T	False	2	True	Two Pair
398	♡9	♡3	True	0	True	Two Pair
399	♣2	♢5	False	1	False	One Pair
400	♠5	♣J	False	0	True	One Pair
401	♡3	♡7	True	0	True	Two Pair
402	♠6	♡2	False	2	True	Three Of A Kind
403	♡7	♣Q	False	0	True	Straight
404	♣8	♣5	True	0	True	Full House
405	♣9	♠3	False	0	True	Three Of A Kind
406	♠7	♠5	True	0	True	Three Of A Kind
407	♣8	♣6	True	0	True	Three Of A Kind
408	♢9	♣6	False	0	True	Two Pair
409	♡9	♢2	False	2	True	Four Of A Kind
410	♠3	♠7	True	0	True	Two Pair
411	♢7	♠2	False	2	True	Three Of A Kind
412	♢Q	♡2	False	2	True	Three Of A Kind
413	♢5	♡Q	False	0	False	One Pair
414	♠3	♣7	False	0	False	One Pair
415	♣8	♣7	True	0	False	One Pair
416	♡K	♣A	False	2	True	One Pair
417	♠6	♡A	False	0	True	Three Of A Kind
418	♣A	♡Q	False	2	False	One Pair
419	♠K	♢6	False	0	False	One Pair
420	♢9	♣A	False	0	True	Three Of A Kind
421	♣2	♢4	False	1	True	Four Of A Kind
422	♢4	♢4	True	2	True	Two Pair
423	♢2	♣4	False	1	True	Straight
424	♢A	♢Q	True	2	True	One Pair
425	♣J	♢4	False	0	False	High Card
426	♡J	♣5	False	0	True	Four Of A Kind
427	♠T	♠5	True	0	False	One Pair
428	♠T	♠9	True	0	False	One Pair
429	♣K	♠2	False	2	True	Straight
430	♣4	♡2	False	2	True	Three Of A Kind
431	♠A	♡8	False	0	True	One Pair
432	♡4	♢K	False	0	True	Three Of A Kind
433	♢Q	♠K	False	2	True	Three Of A Kind
434	♡3	♢J	False	0	True	Three Of A Kind
435	♡T	♢6	False	0	False	One Pair
436	♢5	♣4	False	0	True	Three Of A Kind
437	♢J	♣4	False	0	True	Three Of A Kind
438	♢J	♣5	False	0	False	High Card
439	♢6	♡8	False	0	False	High Card
440	♣A	♢A	False	2	True	Three Of A Kind
441	♢9	♠J	False	0	False	High Card
442	♢3	♢K	True	0	False	High Card
443	♢6	♡8	False	0	False	One Pair
444	♣2	♠J	False	1	True	Four Of A Kind
445	♣7	♡A	False	0	True	One Pair
446	♠J	♣5	False	0	False	One Pair
447	♡T	♢9	False	0	True	Three Of A Kind
448	♡7	♡K	True	0	True	One Pair
449	♢T	♡7	False	0	True	Three Of A Kind
450	♠3	♢J	False	0	False	One Pair
451	♢3	♢5	True	0	False	One Pair
452	♣J	♢K	False	0	False	One Pair
453	♢3	♡5	False	0	True	Four Of A Kind
454	♡6	♠9	False	0	True	Three Of A Kind
455	♢5	♠5	False	2	True	One Pair
456	♠9	♠Q	True	0	True	Four Of A Kind
457	♠K	♡J	False	0	True	Two Pair
458	♢9	♡4	False	0	True	Three Of A Kind
459	♣2	♡2	False	1	True	Four Of A Kind
460	♠K	♢T	False	0	False	High Card
461	♠8	♠5	True	0	True	One Pair
462	♡Q	♢9	False	0	True	Three Of A Kind
463	♡K	♣K	False	2	True	Full House
464	♠J	♣9	False	0	True	One Pair
465	♢K	♠8	False	0	True	One Pair
466	♡4	♢9	False	0	False	One Pair
467	♠2	♠9	True	1	True	Four Of A Kind
468	♣2	♠J	False	1	True	Three Of A Kind
469	♠6	♠3	True	0	True	Four Of A Kind
470	♡9	♣J	False	0	False	One Pair
471	♣Q	♣5	True	0	True	One Pair
472	♣3	♠K	False	0	True	One Pair
473	♢J	♣A	False	0	True	Three Of A Kind
474	♡J	♡A	True	2	True	One Pair
475	♠9	♡Q	False	0	False	One Pair
476	♡5	♡T	True	0	True	Three Of A Kind
477	♢A	♠8	False	0	True	Three Of A Kind
478	♣J	♡T	False	0	False	High Card
479	♠3	♢6	False	0	False	One Pair
480	♣A	♡J	False	0	True	Four Of A Kind
481	♢8	♢Q	True	0	False	One Pair
482	♢9	♡A	False	0	False	One Pair
483	♣8	♠8	False	2	True	Full House
484	♡4	♢6	False	0	False	One Pair
485	♡4	♢7	False	0	True	Two Pair
486	♠5	♢4	False	0	False	One Pair
487	♡6	♢K	False	0	False	One Pair
488	♢2	♠2	False	1	True	Three Of A Kind
489	♣2	♡Q	False	1	True	Four Of A Kind
490	♣7	♠K	False	0	False	One Pair
491	♡Q	♣9	False	0	True	Four Of A Kind
492	♢3	♡7	False	0	True	Three Of A Kind
493	♣Q	♠Q	False	2	True	Two Pair
494	♢K	♡T	False	0	True	Three Of A Kind
495	♠4	♢9	False	0	True	One Pair
496	♣K	♢4	False	0	True	Three Of A Kind
497	♣T	♡T	False	2	True	Full House
498	♢5	♠K	False	0	True	Three Of A Kind
499	♡7	♡K	True	0	True	Three Of A Kind
500	♣7	♣6	True	0	True	Two Pair
501	♠A	♣T	False	0	False	One Pair
502	♠Q	♡6	False	0	True	Three Of A Kind
503	♡Q	♢2	False	2	False	One Pair
504	♢8	♡T	False	0	True	Straight
505	♢8	♠T	False	0	False	High Card
506	♠K	♠Q	True	2	True	Three Of A Kind
507	♢6	♢A	True	0	False	High Card
508	♡7	♢Q	False	0	True	Three Of A Kind
509	♣A	♡A	False	2	True	Two Pair
510	♠2	♠6	True	1	True	Three Of A Kind
511	♠K	♠J	True	2	True	Three Of A Kind
512	♡A	♢K	False	2	True	Three Of A Kind
513	♡9	♣8	False	0	True	One Pair
514	♣7	♠7	False	2	True	Three Of A Kind
515	♢K	♣A	False	2	True	Three Of A Kind
516	♢Q	♠4	False	0	True	Three Of A Kind
517	♠6	♡2	False	2	True	Three Of A Kind
518	♠A	♣6	False	0	True	Three Of A Kind
519	♡A	♣K	False	2	True	One Pair
520	♡A	♡7	True	0	True	Three Of A Kind
521	♡T	♢K	False	0	True	Three Of A Kind
522	♡5	♡8	True	0	True	Three Of A Kind
523	♠7	♣7	False	2	True	Three Of A Kind
524	♠2	♢A	False	1	True	One Pair
525	♣9	♡A	False	0	True	Four Of A Kind
526	♡T	♢5	False	0	False	High Card
527	♡2	♡6	True	1	True	Four Of A Kind
528	♡Q	♠J	False	0	False	High Card
529	♣Q	♢9	False	0	True	Three Of A Kind
530	♡Q	♡5	True	0	True	Full House
531	♡T	♣Q	False	0	False	High Card
532	♣J	♢4	False	0	False	High Card
533	♡J	♡7	True	0	True	Full House
534	♠3	♣2	False	2	True	Three Of A Kind
535	♡3	♢3	False	2	True	Three Of A Kind
536	♡5	♠5	False	2	True	Three Of A Kind
537	♢K	♣6	False	0	True	Straight
538	♣6	♡3	False	0	True	Three Of A Kind
539	♠7	♡4	False	0	True	Straight
540	♢K	♡8	False	0	True	Straight
541	♣Q	♠J	False	0	True	Three Of A Kind
542	♡4	♢7	False	0	False	One Pair
543	♢A	♢A	True	2	False	One Pair
544	♣K	♡Q	False	2	True	Three Of A Kind
545	♡2	♢2	False	1	True	Three Of A Kind
546	♠7	♢7	False	2	True	Three Of A Kind
547	♢K	♡9	False	0	True	One Pair
548	♠7	♡A	False	0	False	High Card
549	♡3	♢8	False	0	False	One Pair
550	♢K	♢T	True	2	True	One Pair
551	♡K	♢Q	False	2	True	Flush
552	♠K	♠3	True	0	False	High Card
553	♡4	♣7	False	0	True	One Pair
554	♠Q	♠8	True	0	True	Three Of A Kind
555	♡4	♢K	False	0	True	Two Pair
556	♠Q	♢6	False	0	True	Three Of A Kind
557	♠A	♠2	True	2	False	One Pair
558	♣3	♡2	False	2	True	Four Of A Kind
559	♢A	♣T	False	0	False	High Card
560	♡A	♡6	True	0	True	One Pair
561	♠5	♡6	False	0	False	One Pair
562	♠T	♠3	True	0	True	Flush
563	♠J	♣J	False	2	True	Three Of A Kind
564	♣3	♡Q	False	0	True	One Pair
565	♣K	♢8	False	0	True	One Pair
566	♣K	♢7	False	0	True	Three Of A Kind
567	♡3	♢4	False	0	False	One Pair
568	♢3	♡5	False	0	False	One Pair
569	♢3	♢T	True	0	True	Two Pair
570	♣3	♢4	False	0	True	Four Of A Kind
571	♡9	♠2	False	2	True	Five Of A Kind
572	♢5	♡7	False	0	True	Two Pair
573	♡8	♡T	True	0	True	Flush
574	♠J	♡6	False	0	True	One Pair
575	♣2	♡2	False	1	True	Four Deuces
576	♡T	♢A	False	0	True	Full House
577	♡Q	♠9	False	0	False	One Pair
578	♡8	♡9	True	0	True	Three Of A Kind
579	♢2	♡J	False	1	False	One Pair
580	♠7	♣J	False	0	True	Three Of A Kind
581	♢8	♡3	False	0	True	Three Of A Kind
582	♡2	♣T	False	1	False	One Pair
583	♠3	♢K	False	0	True	One Pair
584	♠T	♡2	False	2	True	Three Of A Kind
585	♣3	♢K	False	0	True	Three Of A Kind
586	♢3	♣3	False	2	True	Three Of A Kind
587	♠J	♠5	True	0	True	Three Of A Kind
588	♢4	♢3	True	0	True	One Pair
589	♣5	♣6	True	0	False	One Pair
590	♣Q	♢6	False	0	True	Two Pair
591	♠3	♢8	False	0	False	One Pair
592	♡5	♡K	True	0	True	Four Of A Kind
593	♠3	♡6	False	0	True	Full House
594	♢2	♠K	False	1	True	Three Of A Kind
595	♢A	♢T	True	2	False	One Pair
596	♠4	♢9	False	0	False	One Pair
597	♣2	♢K	False	1	True	Three Of A Kind
598	♣T	♢5	False	0	True	One Pair
599	♠4	♠J	True	0	True	One Pair
600	♡6	♠7	False	0	True	Three Of A Kind
601	♣5	♡A	False	0	True	Three Of A Kind
602	♣2	♠5	False	1	True	Full House
603	♡2	♣7	False	1	True	Three Of A Kind
604	♡J	♡8	True	0	False	One Pair
605	♡A	♣9	False	0	True	Three Of A Kind
606	♡5	♣6	False	0	True	Two Pair
607	♠6	♢2	False	2	True	Three Of A Kind
608	♢T	♢A	True	2	False	High Card
609	♣9	♠8	False	0	True	Four Of A Kind
610	♢2	♡Q	False	1	True	Three Of A Kind
611	♠J	♡9	False	0	True	One Pair
612	♣2	♡Q	False	1	True	Four Of A Kind
613	♡K	♠J	False	0	True	One Pair
614	♢8	♢3	True	0	True	Two Pair
